edge_index
"[(3, 0), (2, 1), (3, 2), (11, 3), (5, 4), (3, 5), (11, 6), (8, 7), (11, 8), (10, 9), (11, 10), (11, 12)]"
"[(0, 1), (0, 2), (4, 3), (0, 4), (6, 5), (4, 6), (8, 7), (4, 8), (12, 9), (12, 10), (12, 11), (4, 12), (0, 13)]"
"[(2, 1), (0, 2), (2, 3), (2, 4), (2, 5), (5, 6), (6, 7), (0, 8)]"
"[(3, 0), (3, 1), (3, 2), (7, 4), (6, 5), (7, 6), (3, 7), (7, 8), (3, 9)]"
"[(0, 1), (0, 2), (4, 3), (0, 4), (7, 5), (7, 6), (4, 7), (7, 8), (10, 9), (8, 10), (4, 11), (14, 12), (14, 13), (11, 14), (4, 15), (4, 16), (18, 17), (16, 18), (0, 19)]"
"[(2, 1), (0, 2), (0, 3), (5, 4), (3, 5), (0, 6), (0, 7), (10, 8), (10, 9), (13, 10), (10, 11), (13, 12), (0, 13), (15, 14), (13, 15), (13, 16)]"
"[(1, 0), (3, 2), (1, 3), (1, 4)]"
"[(6, 0), (2, 1), (6, 2), (6, 3), (6, 4), (6, 5), (8, 7), (6, 8), (6, 9)]"
"[(2, 0), (2, 1), (5, 3), (5, 4), (2, 5), (5, 6), (5, 7), (2, 8), (8, 9), (11, 10), (9, 11), (13, 12), (14, 13), (11, 14), (16, 15), (14, 16), (18, 17), (16, 18), (18, 19), (18, 20), (22, 21), (20, 22), (18, 23), (2, 24)]"
"[(2, 0), (2, 1), (7, 3), (3, 4), (7, 5), (7, 6), (2, 7), (2, 8)]"
"[(3, 0), (3, 1), (3, 2), (3, 4), (4, 5), (5, 6), (8, 7), (6, 8), (3, 9)]"
"[(2, 0), (2, 1), (5, 3), (5, 4), (2, 5), (2, 6), (9, 7), (9, 8), (6, 9), (12, 10), (12, 11), (2, 12), (14, 13), (12, 14), (14, 15), (14, 16), (18, 17), (16, 18), (2, 19)]"
"[(1, 0), (3, 2), (1, 3), (1, 4)]"
"[(1, 0), (2, 1), (5, 2), (5, 3), (5, 4), (7, 6), (5, 7), (9, 8), (7, 9), (5, 10)]"
"[(4, 0), (4, 1), (3, 2), (4, 3), (4, 5), (4, 6)]"
"[(2, 0), (2, 1), (2, 3), (2, 4), (4, 5), (7, 6), (5, 7), (5, 8), (8, 9), (2, 10)]"
"[(1, 0), (1, 2), (1, 3), (1, 4), (1, 5)]"
"[(3, 0), (3, 1), (3, 2), (5, 4), (3, 5), (5, 6), (5, 7), (9, 8), (7, 9), (5, 10), (10, 11), (3, 12)]"
"[(3, 0), (2, 1), (3, 2), (5, 4), (6, 5), (3, 6), (10, 7), (10, 8), (10, 9), (6, 10), (12, 11), (6, 12), (3, 13)]"
"[(1, 0), (4, 2), (4, 3), (1, 4), (13, 5), (11, 6), (9, 7), (9, 8), (11, 9), (11, 10), (13, 11), (13, 12), (4, 13), (15, 14), (13, 15), (1, 16)]"
"[(2, 1), (0, 2), (4, 3), (0, 4), (4, 5), (8, 6), (8, 7), (5, 8), (0, 9)]"
"[(1, 0), (2, 1), (5, 3), (5, 4), (2, 5), (5, 6), (10, 7), (9, 8), (10, 9), (11, 10), (6, 11), (2, 12)]"
"[(2, 1), (0, 2), (4, 3), (0, 4), (4, 5), (5, 6), (8, 7), (6, 8), (8, 9), (9, 10), (9, 11), (11, 12), (14, 13), (9, 14), (0, 15)]"
"[(1, 0), (2, 1), (5, 2), (5, 3), (5, 4), (7, 6), (5, 7), (5, 8)]"
"[(2, 0), (2, 1), (4, 3), (2, 4), (2, 5), (5, 6), (8, 7), (6, 8), (2, 9)]"
"[(1, 0), (3, 2), (1, 3), (3, 4), (4, 5), (5, 6), (5, 7), (5, 8), (5, 9), (12, 10), (12, 11), (5, 12), (12, 13), (13, 14), (14, 15), (17, 16), (14, 17), (1, 18)]"
"[(1, 0), (13, 1), (4, 2), (4, 3), (1, 4), (4, 5), (7, 6), (5, 7), (13, 8), (13, 9), (12, 10), (12, 11), (13, 12), (16, 13), (13, 14), (13, 15), (19, 17), (19, 18), (16, 19), (19, 20), (20, 21), (16, 22)]"
"[(1, 0), (3, 2), (1, 3), (3, 4), (4, 5), (5, 6), (5, 7), (1, 8)]"
"[(3, 0), (3, 1), (3, 2), (8, 4), (6, 5), (7, 6), (8, 7), (10, 8), (10, 9), (3, 10), (10, 11), (10, 12), (10, 13)]"
"[(2, 0), (2, 1), (4, 3), (5, 4), (2, 5), (5, 6), (6, 7), (9, 8), (7, 9), (2, 10)]"
"[(1, 0), (2, 1), (4, 3), (2, 4), (6, 5), (4, 6), (9, 7), (9, 8), (6, 9), (2, 10)]"
"[(2, 0), (2, 1), (2, 3), (2, 4), (2, 5), (9, 6), (9, 7), (9, 8), (5, 9), (5, 10), (13, 11), (13, 12), (5, 13), (13, 14), (2, 15)]"
"[(4, 1), (3, 2), (4, 3), (0, 4), (0, 5), (9, 6), (9, 7), (9, 8), (5, 9), (0, 10)]"
"[(3, 0), (3, 1), (3, 2), (5, 4), (3, 5), (3, 6), (6, 7), (3, 8)]"
"[(1, 0), (6, 1), (6, 2), (5, 3), (5, 4), (6, 5), (6, 7), (9, 8), (7, 9), (6, 10), (10, 11), (11, 12), (6, 13)]"
"[(1, 0), (1, 2), (5, 3), (5, 4), (2, 5), (5, 6), (5, 7), (7, 8), (8, 9), (9, 10), (9, 11), (1, 12)]"
"[(1, 0), (3, 1), (3, 2), (6, 3), (6, 4), (6, 5), (6, 7), (7, 8), (6, 9), (6, 10), (12, 11), (6, 12), (14, 13), (12, 14), (12, 15)]"
"[(0, 1), (3, 2), (0, 3), (0, 4)]"
"[(2, 0), (2, 1), (5, 3), (5, 4), (2, 5), (2, 6)]"
"[(3, 0), (3, 1), (3, 2), (3, 4), (8, 5), (8, 6), (8, 7), (3, 8), (8, 9), (11, 10), (9, 11), (11, 12), (12, 13), (15, 14), (13, 15), (18, 16), (18, 17), (13, 18), (3, 19)]"
"[(5, 0), (5, 1), (4, 2), (4, 3), (5, 4), (7, 6), (5, 7), (11, 8), (11, 9), (11, 10), (5, 11), (11, 12), (15, 13), (13, 14), (12, 15), (5, 16)]"
"[(0, 1), (3, 2), (1, 3), (3, 4), (6, 5), (4, 6), (0, 7)]"
"[(3, 0), (3, 1), (3, 2), (7, 4), (4, 5), (4, 6), (3, 7), (3, 8)]"
"[(3, 0), (3, 1), (3, 2), (7, 3), (7, 4), (6, 5), (7, 6), (7, 8), (8, 9), (9, 10), (7, 11), (13, 12), (11, 13), (7, 14)]"
"[(3, 0), (3, 1), (3, 2), (5, 4), (3, 5), (5, 6), (6, 7), (3, 8)]"
"[(1, 0), (4, 1), (4, 2), (4, 3), (8, 5), (7, 6), (8, 7), (4, 8), (11, 9), (11, 10), (4, 11), (11, 12), (12, 13), (4, 14)]"
"[(1, 0), (3, 2), (1, 3), (3, 4), (6, 5), (4, 6), (6, 7), (9, 8), (7, 9), (9, 10), (10, 11), (9, 12), (14, 13), (9, 14), (14, 15), (17, 16), (15, 17), (1, 18)]"
"[(0, 1), (0, 2), (7, 3), (5, 4), (7, 5), (7, 6), (0, 7), (7, 8), (14, 9), (11, 10), (14, 11), (14, 12), (14, 13), (7, 14), (14, 15), (15, 16), (0, 17)]"
"[(3, 0), (3, 1), (3, 2), (7, 4), (7, 5), (7, 6), (3, 7), (7, 8), (3, 9), (15, 10), (12, 11), (10, 12), (14, 13), (12, 14), (3, 15), (15, 16), (16, 17), (3, 18), (22, 19), (22, 20), (22, 21), (3, 22), (22, 23), (22, 24)]"
